comp1,comp2,weight
kafka,rigueur,23
rest,scikit-learn,23
postgresql,tensorflow,23
large language models,transformers,23
power bi,streamlit,23
intelligence artificielle,snowflake,23
gpt,python,23
intelligence artificielle,large language models,23
mlflow,numpy,23
intelligence artificielle,rest,23
agile,hadoop,23
bigquery,devops,23
data management,intelligence artificielle,23
r,rest,23
bigquery,intelligence artificielle,23
gcp,pandas,23
git,keras,23
bigquery,dbt,23
scala,tensorflow,23
nlp,rest,22
mlops,rest,22
llms,scikit-learn,22
e-commerce,gcp,22
pytorch,rest,22
airflow,databricks,22
airflow,mlops,22
airflow,snowflake,22
dbt,plotly,22
numpy,rag,22
big data,bigquery,22
big data,rest,22
apis,linux,22
apis,big data,22
management,scrum,22
azure,mdm,22
linux,r,22
linux,scala,22
langchain,numpy,22
data engineer,linux,22
autonomie,esprit de synthèse,22
autonomie,keras,22
git,llm,22
git,looker,22
devops,mlflow,22
git,plotly,22
pandas,rest,22
numpy,transformers,22
devops,langchain,22
llms,rigueur,22
dbt,streamlit,21
mongodb,rigueur,21
dbt,e-commerce,21
aws,keras,21
big data,scrum,21
e-commerce,git,21
e-commerce,machine learning,21
matplotlib,rag,21
pytorch,scala,21
bigquery,docker,21
kubernetes,mongodb,21
machine learning,mongodb,21
keras,numpy,21
keras,rag,21
keras,llms,21
looker,tableau,21
gcp,rest,21
devops,numpy,21
bigquery,tableau,21
mlops,snowflake,21
looker,power bi,21
scala,scikit-learn,21
keras,matplotlib,21
langchain,r,21
data management,talend,21
management,matplotlib,21
apis,spark,21
rest,tensorflow,21
airflow,api,20
bigquery,spark,20
hadoop,machine learning,20
gcp,numpy,20
dbt,management,20
kafka,kubernetes,20
docker,postgresql,20
dbt,deep learning,20
intelligence artificielle,kafka,20
agile,dbt,20
mongodb,rest,20
java,talend,20
cassandra,kafka,20
excel,power query,20
deep learning,kubernetes,20
kafka,pytorch,20
apis,kafka,20
autonomie,e-commerce,20
mdm,talend,20
rest,spark,20
apis,mlflow,20
llm,scala,20
llm,mlflow,20
llm,numpy,20
aws,transformers,20
aws,mdm,20
mongodb,r,20
mlflow,rest,20
numpy,spark,20
mdm,power bi,20
big data,mlflow,20
datalake,management,20
java,mongodb,20
data management,java,20
autonomie,rigueur scientifique,20
llms,numpy,20
pandas,scala,20
mlflow,scala,20
big data,postgresql,19
dbt,looker,19
kafka,mlflow,19
devops,tableau,19
langchain,mlops,19
devops,scrum,19
dbt,devops,19
looker,machine learning,19
kafka,scikit-learn,19
cassandra,git,19
agile,apis,19
aws,cassandra,19
business object,rigueur,19
cassandra,ci/cd,19
mongodb,tensorflow,19
mongodb,pandas,19
keras,langchain,19
aws,bigquery,19
scrum,spark,19
kafka,rest,19
kafka,tensorflow,19
cassandra,rigueur,19
cassandra,scala,19
cassandra,sql,19
mlops,power bi,19
machine learning,snowflake,19
kafka,pandas,19
kafka,numpy,19
kafka,nlp,19
numpy,scala,19
llms,matplotlib,19
numpy,rest,19
autonomie,bigquery,19
matplotlib,transformers,19
esprit de synthèse,rigueur,19
apis,numpy,19
mdm,snowflake,19
autonomie,cassandra,19
bigquery,power bi,19
databricks,hadoop,19
bigquery,rigueur,19
datalake,r,19
cassandra,tensorflow,18
cassandra,intelligence artificielle,18
cassandra,llm,18
cassandra,mongodb,18
cassandra,machine learning,18
cassandra,mlflow,18
cassandra,mlops,18
big data,numpy,18
big data,cassandra,18
rest,scala,18
big data,dbt,18
git,qlik,18
git,mdm,18
large language models,python,18
azure,matplotlib,18
e-commerce,qlik,18
databricks,machine learning,18
azure,cassandra,18
ci/cd,langchain,18
esprit de synthèse,management,18
ci/cd,scrum,18
ci/cd,streamlit,18
postgresql,power bi,18
e-commerce,looker,18
apis,mongodb,18
apis,cassandra,18
linux,management,18
langchain,matplotlib,18
docker,redis,18
postgresql,spark,18
airflow,java,18
autonomie,streamlit,18
kafka,llm,18
ci/cd,postgresql,18
llm,mongodb,18
nlp,power bi,18
intelligence artificielle,maîtrise de l'anglais ,18
mongodb,numpy,18
airflow,postgresql,18
mlops,mongodb,18
nlp,scala,18
cassandra,docker,18
cassandra,devops,18
mongodb,scikit-learn,18
mongodb,pytorch,18
aws,postgresql,18
mlflow,mongodb,18
cassandra,spark,18
bigquery,kubernetes,18
cassandra,scikit-learn,18
cassandra,rest,18
cassandra,nlp,18
cassandra,numpy,18
cassandra,pandas,18
cassandra,python,18
cassandra,pytorch,18
cassandra,r,18
datalake,snowflake,18
cassandra,gcp,18
mongodb,nlp,18
keras,transformers,18
aws,redis,17
git,redis,17
apis,llms,17
gpt,machine learning,17
gpt,mlops,17
kubernetes,postgresql,17
devops,postgresql,17
mdm,qlik,17
gpt,intelligence artificielle,17
azure,streamlit,17
databricks,tableau,17
azure,scrum,17
large language models,rag,17
large language models,pytorch,17
snowflake,streamlit,17
ci/cd,llms,17
airflow,llms,17
bigquery,deep learning,17
bigquery,e-commerce,17
bigquery,mongodb,17
bigquery,databricks,17
machine learning,streamlit,17
management,power query,17
management,mongodb,17
data management,e-commerce,17
python,redis,17
management,redis,17
deep learning,plotly,17
deep learning,devops,17
deep learning,streamlit,17
aws,streamlit,17
databricks,kafka,17
postgresql,talend,17
plotly,streamlit,16
redis,rigueur,16
gpt,llms,16
mdm,streamlit,16
large language models,r,16
devops,redis,16
databricks,rigueur,16
gcp,streamlit,16
kubernetes,redis,16
gpt,management,16
api,talend,16
api,apis,16
ci/cd,mdm,16
data management,tableau,16
data management,spark,16
autonomie,power query,16
mlflow,streamlit,16
mlflow,plotly,16
databricks,mongodb,16
data engineer,excel,16
power bi,pytorch,16
kafka,management,16
docker,llms,16
gcp,redis,16
dbt,mlflow,16
data engineer,redis,16
deep learning,e-commerce,16
développement commercial,intelligence artificielle,16
streamlit,talend,16
agile,rest,16
business object,power bi,16
mongodb,power bi,16
machine learning,redis,16
mlops,redis,16
qlik,streamlit,16
data management,streamlit,16
management,product management,16
power bi,tensorflow,16
agile,looker,16
nlp,redis,16
big data,linux,16
bigquery,java,16
bigquery,data engineer,16
gcp,plotly,16
bigquery,scala,16
big data,rag,15
looker,streamlit,15
bigquery,mlflow,15
agile,excel,15
rag,spark,15
looker,mlflow,15
looker,plotly,15
anglais technique,aws,15
e-commerce,mlflow,15
databricks,mlops,15
e-commerce,power bi,15
management,mlflow,15
coder,python,15
llms,mlops,15
nlp,rigueur scientifique,15
rigueur,sig,15
data engineer,data management,15
power bi,scikit-learn,15
deep learning,looker,15
kafka,power bi,15
data management,devops,15
kafka,talend,15
anglais technique,maîtrise de l'anglais ,15
excel,machine learning,15
large language models,management,15
bigquery,streamlit,15
bigquery,plotly,15
e-commerce,plotly,15
e-commerce,streamlit,15
datalake,mongodb,15
azure,dbt,15
linux,spark,15
llm,management,15
apis,rag,15
r,scrum,15
rigueur scientifique,scikit-learn,14
r,talend,14
intelligence artificielle,tableau,14
airflow,nlp,14
pandas,rigueur scientifique,14
intelligence artificielle,linux,14
git,postgresql,14
qlik,spark,14
large language models,machine learning,14
databricks,datalake,14
gpt,llm,14
dbt,talend,14
devops,talend,14
api,api rest,14
postgresql,tableau,14
docker,langchain,14
anglais technique,data engineer,14
api,snowflake,14
kubernetes,llms,14
agile,coder,14
deep learning,spark,14
deep learning,power bi,14
aws,scrum,14
aws,maîtrise de l'anglais ,14
api rest,rest,14
docker,rag,14
data engineer,postgresql,14
power bi,rag,14
agile,data management,14
agile,e-commerce,14
azure,deep learning,14
tableau,tableau software,13
api,kafka,13
e-commerce,excel,13
agile,deep learning,13
agile,scikit-learn,13
autonomie,dbt,13
rigueur,scrum,13
anglais technique,api,13
excel,qlik,13
devops,rag,13
api,postgresql,13
databricks,rag,13
devops,hadoop,13
dbt,postgresql,13
esprit de synthèse,r,13
maîtrise de l'anglais ,power bi,13
data engineer,scrum,13
ci/cd,linux,13
gpt,langchain,13
dbt,mlops,13
postgresql,snowflake,13
développement commercial,machine learning,13
airflow,rag,13
hadoop,talend,13
java,scrum,13
azure,rag,12
airflow,rigueur,12
nlp,tableau,12
aws,sig,12
machine learning,talend,12
intelligence artificielle,sig,12
keras,mlflow,12
hadoop,qlik,12
data management,databricks,12
java,rag,12
hadoop,scikit-learn,12
kubeflow,python,12
api,pytorch,12
apis,power bi,12
airflow,talend,12
kafka,postgresql,12
hadoop,linux,12
numpy,power bi,12
mlops,tableau,12
agile,bigquery,12
hadoop,pytorch,12
agile,mlops,12
autonomie,looker,12
docker,transformers,12
devops,llms,12
docker,keras,12
numpy,rigueur scientifique,12
dbt,nlp,12
maîtrise de l'anglais ,sig,12
dbt,tableau,12
dbt,spark,12
gpt,rag,12
kubernetes,linux,12
esprit de synthèse,sql,12
langchain,llm,12
looker,management,12
anglais technique,apis,12
anglais technique,sig,12
airflow,intelligence artificielle,12
bigquery,talend,12
databricks,r,12
azure,excel,12
databricks,qlik,12
airflow,bigquery,12
azure,postgresql,11
api,pandas,11
api,scikit-learn,11
hadoop,scrum,11
sql,tableau software,11
airflow,langchain,11
datalake,devops,11
benchmarks,rigueur,11
mlops,postgresql,11
machine learning,qlik,11
développement commercial,python,11
langchain,power bi,11
git,tableau,11
devops,kubeflow,11
