competence,chi2_score,p_value
Application web,4.338013181468829,0.5018446414055617
LightGBM,4.059091175093618,0.5409400472368815
Machine Learning et Data Science,3.9898663949275224,0.5508758684708348
Programmation en Python,3.840986237928635,0.572529783159332
Google Analytics 4,3.256977945367241,0.6604345006051275
Animation de groupes,3.2457865168539732,0.6621514100077249
Hibernates,3.2457865168539732,0.6621514100077249
"Zoom, ",3.2457865168539732,0.6621514100077249
PipeDrive,3.2457865168539732,0.6621514100077249
"Jenkins, Git, GitLab, Docker",3.2457865168539732,0.6621514100077249
bonne organisation,3.2285116185050042,0.6648030197462063
Recueillir et analyser les besoins clients,3.135012367444697,0.6791798891683385
Connaissance de JIRA,3.107336956521782,0.6834417906146998
Visual Basic,3.0888625140006325,0.6862879451166133
Analyse et Formalisation,2.539812646370034,0.7704876340387661
interfaces visuelles ,2.539812646370034,0.7704876340387661
Architecture web,2.539812646370034,0.7704876340387661
"Architectures de calcul HPC, de l'anglais",2.539812646370034,0.7704876340387661
PowerAMC,2.539812646370034,0.7704876340387661
"Delphi, C++, C#, Android Studio",2.539812646370034,0.7704876340387661
Datastage PX,2.539812646370034,0.7704876340387661
Programmation logicielle,2.539812646370034,0.7704876340387661
Datastage Server,2.539812646370034,0.7704876340387661
Prospection commerciale,2.539812646370034,0.7704876340387661
Typing,2.539812646370034,0.7704876340387661
Slack,2.176561736687872,0.8242141812917791
DICOM,1.8927995816119987,0.863770542606852
RxJS,1.8927995816119987,0.863770542606852
Julia,1.8927995816119987,0.863770542606852
Connaissance du langage SQL,1.8235748014459026,0.872978321499065
AERONAUTIQUE,0.9643120399152525,0.9653925875025967
 Maîtrise de Microsoft Access,,
ACCOMPAGNEMENT DES METIERS DANS LEUR TRANSFORMAT ,,
ARCHITECTURE TECHNIQUE ET INTEGRATION DES SI ,,
Accompagner l'appropriation d'un outil par ses utilisateurs,,
Accompagner une personne dans l'acquisition de connaissances,,
Actualiser des bases de données,,
Actualiser régulièrement ses connaissances,,
Adaptation des contenus aux apprenants,,
"Adapter l'apprentissage selon la progression pédagogique, les difficultés rencontrées",,
Adapter les outils de traitement statistique de données,,
Adapter les solutions aux contraintes de l'environnement de production,,
Adapter une stratégie de vente à une cible ou un produit,,
Administrateur de réseaux informatiques et sécurité des systèmes d'information et de communication,,
Administrer une basse de données,,
Agir rapidement en cas de panne pour minimiser les interruptions,,
Alignement de données entre Legacy et Target,,
Analyse de cycle de vie,,
Analyse de données client,,
Analyse de données de production,,
Analyse de données expérimentales,,
Analyse de résultats de tests,,
Analyse des besoins clients pour systèmes embarqués,,
Analyse en chromatographie,,
"Analyse quantitative de données textuelles (TXM, .",,
Analyser des données pour identifier des tendances,,
Analyser des données pour soutenir des décisions stratégiques,,
Analyser des données techniques pour optimiser les processus,,
Analyser des résultats de tests et essais,,
Analyser des échanges communautaires en ligne,,
Analyser des échantillons de matières ou de produits,,
Analyser et prévenir les risques,,
Analyser la qualité des process,,
Analyser les besoins des clients pour proposer des services adaptés,,
Analyser les besoins des utilisateurs pour la création de contenus multimédias,,
Analyser les besoins des utilisateurs pour la création de logiciels,,
Analyser les besoins informatiques,,
Analyser les besoins spécifiques des clients,,
"Analyser les données d'une étude, d'un projet",,
Analyser les tendances de consommation des clients,,
Analyser les tendances du marché digital,,
Analyser les tendances du marché pour anticiper les besoins,,
Analyser les tendances du marché pour anticiper les évolutions de l'IA,,
Analyser les écarts de coûts et proposer des ajustements,,
Analyser un bilan financier,,
Analyser une situation et produire un diagnostic,,
"Analyser, exploiter, structurer des données",,
"Analyser, résoudre un problème courant ou complexe",,
"Animer un réseau, une communauté",,
Animer une démarche agile et innovante,,
Anticiper les risques de cybersécurité,,
"Apache Spark, Amazon S3, Liquidbase",,
Application des méthodes de machine learning dans BI,,
Appliquer un cadre juridique ou réglementaire,,
Apporter une assistance technique aux équipes,,
Appétence pour les sujets d’analyse,,
Architecture de solutions cloud,,
Architecture des des outils collaboratifs,,
"Architectures modèles de langue, leurs évaluations",,
Archivage sécurisé et pérenne de données recherche,,
Argumenter pour des choix technologiques stratégiques,,
Assembler des composants logiciels,,
Assister une structure dans l'interprétation et l'analyse d'une étude,,
Assurer la compatibilité des systèmes avec les normes actuelles,,
Assurer la confidentialité des informations des utilisateurs,,
Assurer la formation continue des équipes sur les nouvelles technologies de bases de données,,
Assurer la maintenance et l'actualisation des systèmes d'IA,,
Assurer la mise à jour des logiciels de systèmes de sécurité,,
Assurer le suivi de la formation et le tracer dans les outils de suivi pédagogique à disposition,,
Assurer le suivi des stocks en temps réel,,
Assurer une mise à jour régulière des contenus,,
Audit des systèmes d'information,,
"BTS services informatiques aux organisations option A : solutions d'infrastructure, systèmes et réseaux",,
"Base de données : MongoDB, Postgresql",,
Base de données unifiée et centralisée,,
"Base de données, outils modélisation",,
Batch ETL,,
Big data Analytics,,
Bonne maîtrise des logiciels statistiques,,
Bonne pratique des outils de design UI/UX.,,
Bonnes connaissances sur front Web (ReactJS),,
Bonnes notions d’intégration système/API REST/,,
Business Intelligence (BI) - Informatique décisionnelle,,
CI / CD ,,
CONCEPTION  MODELE DONNE SYSTEME INFORMATIQUE ,,
Cadre déontologique prod. données qualitatives,,
Cadre légal production données qualitatives,,
Cadre réglementaire environnemental,,
"Calculer les marges, la rentabilité d'un produit ou d'une activité",,
Calibration d'instruments de laboratoire,,
Capacité à analyser les données financières,,
Capacité à comprendre les enjeux de santé publique,,
Capacité à hiérarchiser +à prioriser ses missions,,
Capacité à identifier des solutions,,
Capacité à interagir avec plusieurs interlocuteurs,,
Capacité à intervenir manuellement sur des cas spé,,
Capacité à résoudre des problèmes techniques,,
Capacité à vulgariser des sujets complexes,,
Capacités d'organisation,,
Capacités d’organisation,,
Changer ou réparer une pièce ou un ensemble défectueux,,
"Cloud & Orchestration : RunAI, Prefect",,
Codifier une facture,,
Collaboration interdisciplinaire en IA,,
Collaborer avec des équipes multidisciplinaires,,
Collaborer avec des équipes pour intégrer des analyses,,
Collaborer avec les développeurs pour améliorer la qualité du logiciel,,
Collaborer avec les développeurs pour la correction des bugs,,
Collaborer avec les équipes pour intégrer les systèmes informatiques,,
Collaborer avec une équipe projet,,
Collaborer dans un groupe pour réaliser un projet,,
Collecter des données statistiques,,
"Collecter et analyser des données, des informations",,
Collecter les résultats d'une enquête,,
"Collecter, tester, analyser des échantillons, des matériaux",,
Communiquer auprès de ses interlocuteurs internes et externes,,
Communiquer clairement les concepts d'IA aux parties prenantes non techniques,,
Communiquer des insights clés aux parties prenantes,,
Communiquer efficacement avec les équipes interdépendantes,,
Communiquer efficacement par écrit les résultats des tests,,
"Communiquer les résultats de mesure et d'analyses aux services qualité, production, aux clients, aux élus, ...",,
Communiquer les résultats des études aux parties prenantes,,
Compréhension des modèles d’optimisation / dispatc,,
Compétences avancées en maîtrise d'ouvrage,,
Compétences en Data-Management,,
Compétences en SEO.,,
Compétences en biostatistiques et en épidémiologie,,
"Compétences en budget, RH, pilotage",,
Compétences en installation et maintenance informa,,
Compétences rédactionnelles et de synthèse,,
Conception de bases de données,,
Conception de systèmes informatiques,,
Conception de tableaux de bord de gestion,,
Conceptualiser et modéliser le SI,,
Concevoir des algorithmes d'apprentissage automatique,,
"Concevoir des modèles théoriques (calcul, simulation, modélisation)",,
"Concevoir des outils de pilotage, indicateurs, tableaux de bord",,
Concevoir des supports de communication et d'image,,
Concevoir des tableaux de bord pour le suivi des performances,,
Concevoir et animer une démarche d'innovation,,
Concevoir et développer les programmes et applicat,,
Concevoir et développer une solution digitale,,
Concevoir et gérer un projet,,
"Concevoir et préparer les cours, les travaux dirigés ou les travaux pratiques",,
"Concevoir l'architecture d'un système, d'un réseau",,
Concevoir l'ingénierie de formation et les séquences pédagogiques,,
Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges,,
"Concevoir un logiciel, un système d'informations, une application",,
Concevoir un plan d'analyse statistique : définir une méthode d'étude statistique (procédures de recueil et traitement des informations) pertinente et les outils logiciels d'analyse des données,,
Concevoir une application web,,
"Concevoir, actualiser des outils de suivi de la qualité",,
Conditionner des produits,,
Conduire des revues de code pour assurer la qualité des développements d'IA,,
Conduire des travaux d'études et de recherche,,
Conduire des études d’impacts,,
"Conduire les négociations commerciales : prix, délais, promotions et conclure la vente (bons de commande, contrats de vente…)",,
Conduite de projet ;,,
Conduite de projets complexes,,
Configurer le poste de travail aux besoins de l'utilisateur,,
Connaissance approfondie en mathématiques,,
Connaissance de Sifac+ obligatoire,,
Connaissance de la réglementation bancaire,,
Connaissance des problématiques de conformité,,
Connaissance des technologies Cloud (AWS),,
"Connaissance outils ETL (Talend,IDWS Data Flow M.)",,
Connaissances  sur les collectivité territoriales,,
Connaissances en architecture logiciel (MVC...),,
Connaissances en conduite du changement,,
Connaissances réglementaire de l'eau,,
"Connaissances solides en gestion d’hébergement, do",,
Connaissances sur QT sont un plus,,
"Connaissances techniques (Cloud, data/BI, CRM, …)",,
Conseil en choix de matériel informatique éco-responsable,,
Conseiller dans le cadre d'une relation commerciale,,
Construire et maintenir des relations professionnelles durables,,
Conteneurisation (Docker) et PyInstaller ,,
Contrôler la conformité d'un équipement de laboratoire,,
"Contrôler la conformité d'un équipement, d'une machine, d'une installation",,
Contrôler la conformité des données,,
Contrôler la qualité d'une base de données,,
Contrôler la qualité et la conformité des process,,
"Contrôler les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE)",,
Convaincre en argumentant avec un ou plusieurs interlocuteurs,,
"Coordination interne, communication structurée.",,
Coordonner l'intervention d'équipes pluridisciplinaires,,
Création de rapports/tableaux de bord Power BI,,
Créer une documentation technique,,
"Créer, concevoir de nouveaux produits ou des améliorations produits",,
"Créer, élaborer et identifier des concepts innovants",,
"Cuire des viandes, poissons ou légumes",,
"Curiosité intellectuelle, sens critique",,
DEFINITION DES STANDARDS D'URBANISATION DU MINAR ,,
"DOCKER, Kubernetes, Aws, Rundeck, Java, Python",,
DUT informatique,,
Data Entry,,
"Diriger des travaux de recherche (thèse, mémoire d'études...)",,
"Diriger et gérer un ensemble, une structure, une organisation",,
"Disponibilité, discrétion et confidentialité",,
Disposer de capacités d’écoute et de synthèse,,
Distribution de données en temps réel avec KAFKA,,
Documenter les anomalies rencontrées lors des tests,,
Documenter les interventions et les anomalies rencontrées,,
Documenter les processus et les architectures d'IA,,
Documenter les procédures de développement et d'exploitation,,
Documenter les procédures de gestion des bases de données,,
Documenter les procédures de sécurité pour les utilisateurs,,
Documenter les procédures techniques et configurations,,
Documenter les procédures techniques pour les utilisateurs,,
Documenter les solutions techniques pour les développeurs,,
Documenter les spécifications techniques des projets IA embarqués,,
"Documenter, mutualiser des ressources de recherche",,
"Données d'activité de la structure, du service",,
Droit et réglementation des assurances,,
Définir des mesures de prévention des risques,,
Définir et faire évoluer des procédés de traitement de l'information,,
Définir la stratégie des systèmes d'informations,,
Définir la stratégie financière d'une structure,,
Définir les solutions de stockage et de structuration des données,,
Définir un dispositif de suivi de production,,
Dépanner des équipements informatiques,,
Déploiement de couches logicielles spécifiques IA ,,
Déploiement de services cloud (cloud computing),,
Déploiement de solutions informatiques,,
"Déployer, intégrer un logiciel, un système d'informations, une application",,
"Dépoussiérer les sols, les tapis, les meubles, les objets et aérer, désodoriser les pièces",,
Déterminer des axes d'évolution technologiques,,
Déterminer des mesures correctives,,
"Déterminer et développer les méthodes de recherche, de recueil et d'analyse de données",,
Déterminer l'opportunité de l'intégration d'outils d'intelligence artificielle et de data science dans le modèle d'affaires,,
Déterminer le potentiel d'un client ou prospect,,
Développement Commercial,,
Développement back-end,,
Développement de jobs d'extraction & d'acquisition,,
Développement de logiciels,,
Développement de logiciels embarqués,,
Développement de produits basés sur l'IA,,
Développement de tests automatisés,,
Développement de tests de sécurité,,
Développement front-end,,
Développement ventes OEM,,
Développer des algorithmes pour l'analyse de données,,
Développer des modèles mathématiques pour la création de produits d'assurance ou d'épargne,,
Développer des modèles prédictifs pour l'analyse de données,,
Développer des méthodes d'analyse,,
Développer des scripts pour l'automatisation des rapports,,
Développer des tableaux de bord pour suivre les KPIs,,
Développer et fidéliser la relation client,,
Développer l'image et la notoriété d'une entreprise,,
"Développer un logiciel, un système d'informations, une application",,
Développer un portefeuille clients et prospects,,
Développer une application en lien avec une base de données,,
Effectuer un reporting régulier à la hiérarchie,,
Elaborer des outils de collecte de données ,,
Elaborer des processus et des modes opératoires techniques,,
Elaborer des propositions techniques,,
Elaborer des solutions techniques et fonctionnelles,,
Elaborer des supports de communication adaptés,,
Elaborer des tableaux de bord,,
"Elaborer et planifier un programme de production, d'exploitation",,
"Elaborer un plan marketing, une stratégie de marque et de communication",,
Elaborer une nomenclature,,
Elaborer une stratégie commerciale,,
"Elaborer, adapter une proposition commerciale",,
Encourager la participation de chaque membre du groupe,,
Enjeux et exigences liés à la gestion des données,,
Enlever un colis chez un client,,
Enrichir une base de données,,
"Enseigner, transmettre des connaissances, développer des compétences",,
"Entretenir un équipement, une machine, une installation",,
"Entretenir, nettoyer un espace, un lieu, un local",,
Environnement PLM / 3DExpérience / CATIA,,
Environnements de recherche en sciences sociales,,
"Esprit d'initiative, capacité d’analyse, rigueur",,
Esprit de synthèse,,
"Etablir des prévisions, des évaluations, des recommandations, des perspectives",,
Etablir des rapports de progression des travaux,,
Etablir un devis,,
"Etablir un plan de tournée de prospection (ciblage, interlocuteurs, préparation de dossiers techniques)",,
"Etudier et concevoir des pièces, sous-ensembles ou ensembles",,
Evaluation des besoins du client,,
Evaluer l'efficacité des modèles de données,,
Evaluer l'impact financier des décisions stratégiques,,
Evaluer la satisfaction client et ajuster les services,,
Evaluer la satisfaction des clients et recueillir les feedbacks,,
Evaluer le résultat de ses actions,,
Excellente maîtrise traitement automatique langage,,
Excellentes compétences rédactionnelles,,
Expertise en exploitation des installations,,
Expliquer les choix techniques aux clients,,
Exploiter des solutions de Data Science ou d'Intelligence Artificielle,,
Expérience dans fonction publique appréciée,,
Expérience dans un environnement normé ,,
Expérience en BE -Machines Speciales,,
"Expérience secteur bancaire,banque dinvestissement",,
Faciliter la collaboration interdisciplinaire dans les projets de développement,,
Faciliter la collaboration interdépartementale sur les projets BI,,
Faciliter les projets et transformations,,
Faire preuve d'adaptabilité et d'autonomie,,
Faire preuve d'appétence pour l’utilisation de logiciels numériques et de nouvelles technologies,,
Familiarité dans secteur industriel / aéronautique,,
Fiscalité,,
Formalisation et uniformisation des données,,
Formaliser les résultats d'une étude statistique de données,,
Formation des utilisateurs sur les outils informatiques,,
Former les utilisateurs sur les procédures d'accès et d'utilisation des bases de données,,
Former les équipes à l'utilisation responsable des technologies,,
Forte capacité analytique et lecture de dashboards,,
Fortes capacités de raisonnement analytique,,
GARANTIE DE L'INTEGRITE DU SI EN REGARD DU SCHEM ,,
GESTION D'UN PRESTATAIRE SI INTERNE OU EXTERNE ,,
GESTION DE LA QUALITE DES DONNEES ET DES REFEREN ,,
Gestion Clientele,,
Gestion de bases de données NoSQL,,
Gestion de portefeuille clients,,
Gestion de tests de performance,,
Gestion de version de code,,
Gestion des configurations,,
Gestion des incidents de non-conformité,,
Gestion des incidents et support utilisateur,,
Gestion des risques (Risk Management),,
"Gestion, préparation, annotation de corpus textuel",,
"Gherkin, SpecFlow, POM ou équivalents",,
GitHub / GitLab,,
Goût pour la collaboration interdisciplinaire,,
Gérer des bases de données,,
Gérer des données massives,,
Gérer et déployer des logiciels à distance,,
Gérer et maitriser des bases de données (SQL/NoSQL),,
Gérer la documentation technique des projets,,
Gérer la sécurité des données dans les projets BI,,
Gérer les bases de données et assurer leur intégrité,,
Gérer les stocks,,
Gérer les stocks de réactifs et de consommables nécessaires aux analyses,,
Gérer les urgences et les priorités dans un laboratoire,,
Gérer les versions de logiciels et leur compatibilité,,
Gérer les versions de logiciels et leurs mises à jour,,
Gérer une base de données numériques,,
IDENTIFICATION DES DONNEES DU SYST D'INFOR,,
Identifier des contraintes techniques,,
Identifier des non-conformités,,
"Identifier et sélectionner des fournisseurs, sous-traitants, prestataires",,
"Identifier la demande et réaliser les ébauches, schémas de pièces, systèmes, sous-ensembles ou ensembles",,
Identifier les contraintes d'un projet,,
Identifier ses axes de progrès,,
Indicateurs de suivi d'activité,,
Informatica PowerCenter,,
Installation de logiciels,,
Installer du matériel d'automatisation,,
Installer ou configurer un serveur réseau,,
Interprétation de données financières,,
Interprétation de mesures physiques,,
Interpréter des résultats d'analyses pour des décisions stratégiques,,
Interpréter des résultats de campagne média,,
Intégration continue & DataOps : Gitlab CI,,
Intégration de systèmes,,
Intégrer des outils IA/Data Science,,
Intégrer les bases de données avec d'autres systèmes d'information,,
Intégrer les données techniques pour la réalisation du projet,,
Intérêt pour applications interdisciplinaires TAL,,
"JUnit, Sélénium",,
LOGICIEL COMPTA/PAIE,,
LOGICIEL R,,
Lancer des documents de production,,
Langage C maîtrisé en système embarqué bare-meta,,
Langage informatique SQL,,
"Langages C et C++ , CANopen, SPI, I2C ",,
Langages de programmation informatique,,
Langue anglaise : B2,,
"Licence pro mention métiers de l'informatique : conception, développement et test de logiciels",,
Licence pro mention métiers de l'informatique : systèmes d'information et gestion de données,,
"Lire et interpréter des données et documents techniques, au besoin en anglais",,
Livrer une commande,,
Logiciels de gestion d'appels téléphoniques,,
Logiciels susnommés ou de leur équivalents,,
MISE EN OEUVRE UNE DEMARCHE D'URBANISATION DANS ,,
Machines à CN,,
Maintenance préventive et curative de deuxième niveau,,
Maintenir à jour la documentation technique et les manuels d'utilisation,,
"Maitrise Python, PyTorch,OpenAI API",,
"Maitrise de DAX (calculs, mesures, ...)",,
Maitrise de Dataïku,,
Maitrise de l'environnement territorial,,
Maitrise de la construction de requêtes complexes,,
Maitrise de la méthodologie de projet (agile),,
"Maitrise de sklearn, tensorflow, keras, pandas...",,
Maitrise des techniques de supervision de modèles,,
Marchés publics,,
Master mention bio-informatique,,
Master mention chimie et sciences des matériaux,,
Master mention informatique,,
Mastère spécialisé contrôle de gestion et pilotage de la performance,,
Mastère spécialisé expert big data engineer,,
"Maîtrise Webscraping (Python, ...)",,
"Maîtrise d'un outil de gestion de flux (Kafka, Flink…)",,
Maîtrise de Python et du framework FastAPI,,
Maîtrise de l'anglais ,,
Maîtrise de la langue française,,
Maîtrise de sujets SI,,
Maîtrise des outils de datawiz,,
"Maîtrise des outils de gestion de projet (Trello, ",,
Maîtrise des outils de gestion des données (SIG),,
Maîtrise des outils d’extraction de données ,,
Maîtrise des outils informatiques ,,
Maîtrise des outils informatiques bureautiques ,,
"Maîtrise des technologies web (HTML, CSS, JS, fram",,
Maîtrise d’une autre langue serait un plus ,,
Maîtriser les architectures de calcul HPC,,
Maîtriser les caractéristiques d'un produit ou d'un matériau,,
"Maîtriser les services proposés par l’entreprise, ainsi que le cadre légal et réglementaire",,
Mener une recherche et une veille d'information,,
Mesurer le retour sur investissement d'une action marketing,,
Mettre en place des indicateurs de performance technique,,
Mettre en place des outils de suivi de la qualité des tests,,
Mettre en place des solutions d'amélioration de la performance,,
Mettre en œuvre la stratégie commerciale de l'entreprise,,
Mettre à jour les logiciels des systèmes embarqués,,
"Mise en place de test unitaire,fonctionnel pytest",,
Modélisation et simulation,,
Modélisation informatique,,
Modélisation économique,,
Modéliser une base de données,,
"Monter et régler une installation, une machine",,
Métabase,,
Méthode AGILE,,
"Méthodes, outils traitement et analyse de données",,
Méthodologies de prospection,,
NATIONALITE FRANCAISE,,
Niveau avancé prouvé développement LabVIEW,,
Normes d'hygiène et de propreté,,
Normes qualité,,
"Notions de base en finances publiques (LOLF, GBCP)",,
Optimisation de la performance des systèmes,,
Optimisation des flux de production,,
"Optimiser des algorithmes, une application informatique et mettre en oeuvre leur développement",,
Optimiser des processus d'analyse de données,,
Optimiser l'utilisation des outils bureautiques,,
Optimiser la visibilité des publications sur les réseaux sociaux,,
Optimiser les performances d'une base de données,,
Optimiser les performances des systèmes d'IA,,
Optimiser les processus de développement logiciel,,
Optimiser les processus de qualité pour assurer la fiabilité des logiciels,,
Optimiser les processus de sauvegarde des données,,
Optimiser les processus financiers pour réduire les dépenses,,
Optimiser les processus informatiques pour réduire l'empreinte écologique,,
Optimiser les procédures de tests pour améliorer l'efficacité,,
Optimiser une activité commerciale,,
Organiser le flux des produits sur une ligne de production,,
Organiser le traitement des commandes,,
Organiser le travail d'une équipe,,
"Organiser un corpus de données, textes ou document",,
"Organiser, aménager un espace de vente",,
Paramétrer un logiciel métier et l'interfacer à d'autres applicatifs,,
Paramétrer un programme d'automatisation pour un automate programmable,,
"Piloter la gestion de la production, de l'exploitation",,
Piloter le déploiement de solutions innovantes,,
Planifier des interventions de maintenance,,
Planifier et suivre la réalisation des mesures et analyses et interpréter les résultats,,
Planifier et suivre les échéances de projet,,
Planifier son travail en autonomie,,
Polyvalence et capacité d’adaptation,,
Pratique de la data,,
Procéder aux phases de tests et de recettes des applications développées,,
"Procéder à des tests, expérimentations",,
Procédures de contrôle qualité,,
Procédures de tests,,
Procédures qualité et sécurité des systèmes d'information et de télécoms,,
Programmation TIA Portal,,
Programmation en JavaScript,,
Programmation en Python pour IA,,
"Programmation scientifique (Python, Julia, R)",,
Promouvoir l'interactivité et la collaboration,,
Promouvoir la collaboration entre les développeurs et les opérateurs pour une meilleure intégration,,
Promouvoir une culture d'amélioration continue au sein de l'équipe,,
Proposer des améliorations pour augmenter l'efficacité des systèmes,,
Proposer des améliorations pour optimiser les processus,,
